AIDS GED Distribution Statistics (Nodes <= 15)
==================================================
Total pairs: 12061287
Min GED: 0.0
Max GED: 47.0
Mean GED: 12.32
Std GED: 3.52
==================================================

GED Value	Count		Percentage
----------------------------------------
0.0		208		0.00%
1.0		651		0.01%
2.0		2053		0.02%
3.0		5235		0.04%
4.0		16375		0.14%
5.0		52653		0.44%
6.0		151388		1.26%
7.0		364854		3.03%
8.0		716901		5.94%
9.0		1127625		9.35%
10.0		1460999		12.11%
11.0		1591477		13.19%
12.0		1506067		12.49%
13.0		1274054		10.56%
14.0		1018102		8.44%
15.0		782922		6.49%
16.0		592929		4.92%
17.0		436432		3.62%
18.0		310675		2.58%
19.0		213672		1.77%
20.0		146239		1.21%
21.0		95520		0.79%
22.0		61927		0.51%
23.0		39634		0.33%
24.0		26520		0.22%
25.0		18366		0.15%
26.0		13985		0.12%
27.0		9926		0.08%
28.0		7380		0.06%
29.0		4812		0.04%
30.0		4034		0.03%
31.0		2930		0.02%
32.0		1633		0.01%
33.0		1059		0.01%
34.0		697		0.01%
35.0		511		0.00%
36.0		315		0.00%
37.0		235		0.00%
38.0		131		0.00%
39.0		64		0.00%
40.0		34		0.00%
41.0		17		0.00%
42.0		9		0.00%
43.0		16		0.00%
44.0		7		0.00%
45.0		9		0.00%
46.0		3		0.00%
47.0		2		0.00%
